id,offset,accuracy,accuracy_index,answer,behind_beat,track_id,track_name,track_random_intercept,track_random_slope,difficulty_with_track_effect,difficulty_without_track_effect,discrimination,guessing,inattention,file_name
1,-0.182028332,0.5,1,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.319143815,-1.769039451,1.166,0.5,1,1_1_-0.182_beep_boabab.mp3
2,-0.182028332,0.5,1,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.319143815,-1.769039451,1.166,0.5,1,2_2_-0.182_beep_boabab.mp3
3,-0.180792759,0.505,2,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.290664932,-1.732814751,1.166,0.5,1,3_1_-0.1808_beep_boabab.mp3
4,-0.180792759,0.505,2,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.290664932,-1.732814751,1.166,0.5,1,4_2_-0.1808_beep_boabab.mp3
5,-0.179558848,0.51,3,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.26218605,-1.696590051,1.166,0.5,1,5_1_-0.1796_beep_boabab.mp3
6,-0.179558848,0.51,3,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.26218605,-1.696590051,1.166,0.5,1,6_2_-0.1796_beep_boabab.mp3
7,-0.178326455,0.515,4,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.233707168,-1.660365352,1.166,0.5,1,7_1_-0.1783_beep_boabab.mp3
8,-0.178326455,0.515,4,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.233707168,-1.660365352,1.166,0.5,1,8_2_-0.1783_beep_boabab.mp3
9,-0.177095432,0.52,5,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.205228286,-1.624140652,1.166,0.5,1,9_1_-0.1771_beep_boabab.mp3
10,-0.177095432,0.52,5,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.205228286,-1.624140652,1.166,0.5,1,10_2_-0.1771_beep_boabab.mp3
11,-0.175865635,0.525,6,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.176749404,-1.587915952,1.166,0.5,1,11_1_-0.1759_beep_boabab.mp3
12,-0.175865635,0.525,6,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.176749404,-1.587915952,1.166,0.5,1,12_2_-0.1759_beep_boabab.mp3
13,-0.174636918,0.53,7,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.148270522,-1.551691252,1.166,0.5,1,13_1_-0.1746_beep_boabab.mp3
14,-0.174636918,0.53,7,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.148270522,-1.551691252,1.166,0.5,1,14_2_-0.1746_beep_boabab.mp3
15,-0.173409139,0.535,8,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.11979164,-1.515466552,1.166,0.5,1,15_1_-0.1734_beep_boabab.mp3
16,-0.173409139,0.535,8,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.11979164,-1.515466552,1.166,0.5,1,16_2_-0.1734_beep_boabab.mp3
17,-0.172182152,0.54,9,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.091312758,-1.479241852,1.166,0.5,1,17_1_-0.1722_beep_boabab.mp3
18,-0.172182152,0.54,9,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.091312758,-1.479241852,1.166,0.5,1,18_2_-0.1722_beep_boabab.mp3
19,-0.170955815,0.545,10,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.062833876,-1.443017153,1.166,0.5,1,19_1_-0.171_beep_boabab.mp3
20,-0.170955815,0.545,10,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.062833876,-1.443017153,1.166,0.5,1,20_2_-0.171_beep_boabab.mp3
21,-0.169729982,0.55,11,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.034354994,-1.406792453,1.166,0.5,1,21_1_-0.1697_beep_boabab.mp3
22,-0.169729982,0.55,11,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.034354994,-1.406792453,1.166,0.5,1,22_2_-0.1697_beep_boabab.mp3
23,-0.168504511,0.555,12,1,FALSE,1,boabab,-2.593740662,1.8063247,-0.005876112,-1.370567753,1.166,0.5,1,23_1_-0.1685_beep_boabab.mp3
24,-0.168504511,0.555,12,2,FALSE,1,boabab,-2.593740662,1.8063247,-0.005876112,-1.370567753,1.166,0.5,1,24_2_-0.1685_beep_boabab.mp3
25,-0.167279257,0.56,13,1,FALSE,1,boabab,-2.593740662,1.8063247,0.02260277,-1.334343053,1.166,0.5,1,25_1_-0.1673_beep_boabab.mp3
26,-0.167279257,0.56,13,2,FALSE,1,boabab,-2.593740662,1.8063247,0.02260277,-1.334343053,1.166,0.5,1,26_2_-0.1673_beep_boabab.mp3
27,-0.166054076,0.565,14,1,FALSE,1,boabab,-2.593740662,1.8063247,0.051081652,-1.298118353,1.166,0.5,1,27_1_-0.1661_beep_boabab.mp3
28,-0.166054076,0.565,14,2,FALSE,1,boabab,-2.593740662,1.8063247,0.051081652,-1.298118353,1.166,0.5,1,28_2_-0.1661_beep_boabab.mp3
29,-0.164828822,0.57,15,1,FALSE,1,boabab,-2.593740662,1.8063247,0.079560535,-1.261893654,1.166,0.5,1,29_1_-0.1648_beep_boabab.mp3
30,-0.164828822,0.57,15,2,FALSE,1,boabab,-2.593740662,1.8063247,0.079560535,-1.261893654,1.166,0.5,1,30_2_-0.1648_beep_boabab.mp3
